1.4723,2.378,1.4399,1.3464,2.356,2.0901
1.9645,2.1024,1.6799,1.584,1.6924,1.8319
1.6811,2.1757,1.5588,1.5742,2.0972,2.2105
1.5968,1.5899,1.4731,1.4114,1.4591,1.4522
1.0035,1.1122,1.1172,1.083,1.1887,1.1889
1.2343,1.6655,1.163,1.1056,1.425,1.4693
1.4931,1.7443,1.2258,1.2527,1.5189,1.4959
1.8825,2.4365,1.7259,1.6179,2.24,2.2434
1.3475,1.2895,1.6807,1.4691,1.6594,1.6046
2.0724,3.0642,1.7731,1.6392,3.0444,3.1063
2.3292,2.2012,1.7779,1.8511,2.01,1.9951
1.1656,1.2127,1.2031,1.1956,1.2509,1.2362
1.0097,1.0047,1.071,1.0971,1.1275,1.1127
1.5833,1.7866,1.6046,1.4833,1.7401,1.6871
1.2433,1.5547,1.117,1.153,1.4597,1.5312
1.7803,1.8106,1.7458,1.6931,1.8005,1.7615
1.5257,2.1546,1.3403,1.2633,2.0659,1.9496
1.9884,1.6707,1.7625,1.3517,1.5079,1.3716
2.2061,1.8499,1.8202,1.89,1.7218,1.8722
1.8713,2.2978,1.71,1.5857,1.774,1.9465
1.3415,1.3404,1.4504,1.5062,1.4708,1.3885
1.9231,2.227,1.643,1.6117,1.7461,1.9286
1.401,1.6327,1.3436,1.313,1.5224,1.5236
1.1187,0.94583,1.0074,0.99693,0.88816,0.90456
2.1163,2.0617,2.0379,1.8057,1.7901,2.0107
3.4509,3.468,2.7345,2.6948,2.6975,3.093
1.6172,2.0953,1.3863,1.4017,1.6222,1.8646
1.5359,1.5553,1.5011,1.4149,1.5668,1.5428
2.9157,2.5608,2.3406,2.2995,2.0737,2.3556
1.5134,1.6575,1.4322,1.3651,1.5961,1.5045
2.7467,2.6156,2.0611,2.0644,2.1478,2.1528
1.1757,1.306,1.3753,1.2846,1.274,1.3949
5.3446,5.3754,4.5349,3.8786,4.6358,4.7688
4.0638,2.9528,3.1791,3.1017,2.7076,3.0406
1.2683,1.2476,1.258,1.1488,1.4,1.3303
1.1741,1.4007,1.0638,1.0393,1.1239,1.2489
2.0062,2.208,1.9453,1.8352,1.974,2.1235
3.4286,3.3337,2.9783,2.6644,2.7368,3.0543
2.514,2.3196,2.2682,2.3042,2.1731,2.4501
1.012,1.114,0.98047,0.96172,1.073,1.0804
1.3139,1.3125,1.3983,1.3816,1.3537,1.3835
0.91293,0.79512,0.95541,0.95051,0.82304,0.82975
3.5308,3.9605,2.5153,2.4392,2.6011,2.8832
2.0017,2.7511,1.9108,1.7877,2.5113,2.6343
3.1129,3.5473,2.8372,2.4,2.8386,2.9366
0.91894,1.0558,0.85297,0.89291,0.9455,0.94513
1.3801,1.5786,1.4949,1.2802,1.4933,1.5899
0.75813,0.77832,0.77696,0.79964,0.82175,0.82094
2.0446,3.0934,1.717,1.625,2.2255,2.6799
0.88381,0.90636,0.93921,0.92384,0.96299,0.97405
3.0736,2.4355,2.2849,2.2061,1.9005,2.2433
1.0485,1.2692,1.418,1.2393,1.4527,1.3437
2.7377,3.391,2.301,2.1377,3.0281,2.9548
1.7278,2.3046,1.7823,1.6112,2.2179,2.1119
0.96678,0.99885,1.0092,1.0627,1.115,1.1264
1.1492,1.5239,1.2134,1.1222,1.32,1.3503
0.8208,1.0655,0.88146,0.81754,1.0136,1.1038
1.1203,1.0333,1.0087,1.0197,1.1183,1.123
0.91962,1.2005,0.83622,0.85386,1.0025,1.0843
2.173,2.3024,2.1594,1.8188,2.3343,2.2522
1.9598,1.8781,1.6227,1.6094,1.5267,1.8618
1.1016,1.006,1.0968,1.1075,1.1038,1.0473
4.0437,4.2797,3.8934,3.0576,3.0182,3.6354
2.0994,1.7253,1.7176,1.7503,1.7505,1.6835
3.4518,3.2468,3.2343,3.2132,3.158,3.3857
1.5752,1.5866,1.3543,1.2193,1.425,1.4257
4.7644,5.4127,3.5565,3.4103,3.9422,4.5276
1.1273,1.476,1.1086,0.95578,1.2055,1.2095
1.1656,1.2564,1.0422,0.96972,1.0851,1.0707
1.8141,2.5764,1.5941,1.5193,2.0695,2.0849
4.4756,4.0843,3.6201,3.8038,2.925,3.6454
2.5168,2.4764,2.363,2.1467,2.3882,2.3425
1.8015,1.9987,1.9241,1.9531,1.8677,2.1418
1.4632,1.6925,1.3312,1.2801,1.4427,1.4268
1.0442,1.253,1.1363,1.0561,1.2316,1.2336
0.99174,1.0113,0.81176,0.8516,0.8764,0.94324
1.2692,1.7342,1.2516,1.1271,1.4396,1.6125
1.0479,1.2077,1.0622,1.0569,1.1702,1.2152
